Source,/home/takemasa/git/LI2026ODP/LI2026ODP.sch,,,
Kicad Rev,Eeschema 5.1.12-84ad8e8a86~92~ubuntu20.04.1,,,
Generated Date,2022/Jan/10 06:28’27” JST,,,
,,,,
Title,LI2026ODP,,,
Company,Not Set,,,
Revision,1.0.0,,,
Date Issue,2022-01-08,,,
,,,,
Reference,Value,Library,Library Ref,Comment
U1,LM2936MM-3.3,LM2936MM,LM2936MM-3.3,TSSOP 8
U3,max6921aui+,MAX6921AUI,max6921aui,TSSOP28
U2,STM32G0B1KET6,STM32G0B1KET6,STM32G0B1KET6,LQFP32
J1,9-1437539-2,DIP28,9-1437539-2,Pin Header 14*2
J2,Conn_01x05_Male,Connector,Conn_01x05_Male,
D1,D,Device,D,Schottky 50V. 1608M
D2,D,Device,D,Schottky 50V. 1608M
D3,D,Device,D,Schottky 50V. 1608M
D4,D,Device,D,Schottky 50V. 1608M
D5,D,Device,D,Schottky 50V. 1608M
D6,D,Device,D,Schottky 50V. 1608M
D7,D,Device,D,Schottky 50V. 1608M
D8,D,Device,D,Schottky 50V. 1608M
D9,D,Device,D,Schottky 50V. 1608M
R1,15k,Device,R,1608M
R2,15k,Device,R,1608M
R3,15k,Device,R,1608M
R4,15k,Device,R,1608M
R5,15k,Device,R,1608M
R6,15k,Device,R,1608M
R7,15k,Device,R,1608M
R8,15k,Device,R,1608M
R9,15k,Device,R,1608M
R14,27k,Device,R,1608M
R15,3.3k,Device,R,1608M
R12,27k,Device,R,1608M
R13,3.3k,Device,R,1608M
R10,27k,Device,R,1608M
R11,3.3k,Device,R,1608M
C1,22uF,Device,CP,Tantar 6V 2012M
C2,0.1u,Device,C,Ceramic 1608M
C3,0.1u,Device,C,Ceramic 1608M
C4,0.1u,Device,C,Ceramic 1608M
C5,0.1u,Device,C,Ceramic 1608M
